seed,variant,scorer,alpha,coverage_iou,exact_union_iou,set_f1_0_3,set_f1_0_5,mean_pred_count
13,learned,hgb,3.0,0.542045167843279,0.5454788332834505,0.7912121212121211,0.6434848484848484,1.2363636363636363
13,learned_heat,hgb,2.0,0.5387598571563329,0.5395462881396641,0.7884848484848485,0.6412121212121212,1.2454545454545454
13,learned_heat_slot,hgb,2.0,0.5425742693457051,0.5418426479805319,0.7915151515151515,0.6442424242424243,1.25
42,learned,hgb,3.0,0.5491909625842875,0.5527697747776951,0.816969696969697,0.6480303030303031,1.2272727272727273
42,learned_heat,hgb,3.0,0.5460160288869328,0.5504259653575033,0.8063636363636364,0.6624242424242424,1.2272727272727273
42,learned_heat_slot,hgb,3.0,0.5459375735586093,0.5488712207159377,0.8025757575757576,0.6609090909090908,1.231818181818182
2026,learned,hgb,6.0,0.5312252215363304,0.5343399061475989,0.7587878787878788,0.605,1.2454545454545454
2026,learned_heat,hgb,4.0,0.5270279257552537,0.5297870871261127,0.7533333333333334,0.6169696969696971,1.2227272727272727
2026,learned_heat_slot,hgb,4.0,0.5321176901317519,0.5327829304690913,0.756969696969697,0.6187878787878788,1.2454545454545454
