seed,variant,scorer,alpha,val_selected_coverage,coverage_iou,exact_union_iou,set_f1_0_3,set_f1_0_5,mean_pred_count
13,learned,hgb,3.0,0.5646997417371425,0.5340834960913784,0.5375362046370522,0.7934848484848485,0.6131818181818182,1.2363636363636363
42,learned,hgb,2.0,0.5801774232918651,0.5375513659737051,0.5390161988617903,0.7965151515151516,0.6222727272727273,1.2363636363636363
2026,learned,hgb,4.0,0.5716542117787254,0.5297105059704729,0.5297473149840917,0.761969696969697,0.5968181818181819,1.2545454545454546
