seed,variant,scorer,alpha,val_selected_coverage,coverage_iou,exact_union_iou,set_f1_0_3,set_f1_0_5,mean_pred_count
13,learned,hgb,2.0,0.5703364032066541,0.5372716530355243,0.5364931367992345,0.7972727272727272,0.6215151515151516,1.2454545454545454
42,learned,hgb,4.0,0.5613927611868007,0.5361576878990412,0.5352358471494613,0.8025757575757576,0.6313636363636363,1.2454545454545454
2026,learned,hgb,4.0,0.559108344675877,0.5430058908189396,0.5410760332854,0.7821212121212121,0.6192424242424243,1.231818181818182
