seed,scorer,alpha,val_selected_coverage,coverage_iou,exact_union_iou,set_f1_0_3,set_f1_0_5,mean_pred_count
13,hgb,4.0,0.5546577431274724,0.5279321110726023,0.5291191775825236,0.7877272727272728,0.6056060606060607,1.240909090909091
42,ridge,2.0,0.5675461499691272,0.5380615530187146,0.5383747289977333,0.792121212121212,0.6263636363636365,1.25
2026,rf,6.0,0.5610806714374621,0.5279868437315747,0.531153733984002,0.7583333333333334,0.6072727272727273,1.2545454545454546
