method,ref_count,coverage_iou_mean,coverage_iou_std,exact_union_iou_mean,exact_union_iou_std,set_f1_optimal_0_5_mean,set_f1_optimal_0_5_std,n
ClueGround,multi (2+ boxes),0.4262530164628018,0.005710340900494637,0.4370831545552156,0.0070486290022762155,0.49376218323586746,0.007311890578366867,57
ClueGround,single (1 box),0.5823841593860078,0.005937974416662997,0.5804938247021348,0.006152791558797735,0.6704158145875937,0.019301424859942497,163
MedGrounder,multi (2+ boxes),0.46547095569372404,0.005406989996324874,0.46816987150427725,0.0038201277335220152,0.5216374269005848,0.015193428136569083,57
MedGrounder,single (1 box),0.5575156816186032,0.006222213574680604,0.551782220466489,0.007082298644901139,0.6366734832992501,0.017866860834466546,163
ClueGround,All,0.5419319996286317,0.003363762098819143,0.543337423800433,0.005017519463237884,0.6246464646464647,0.01385873678393536,220
MedGrounder,All,0.5336677299017026,0.0035710322732857495,0.5301190209626433,0.004414099360982138,0.6068686868686869,0.01465734531407222,220
