method,finding,mean_iou_row_mean,mean_iou_row_std,hit_0_5_mean,hit_0_5_std,n
ClueGround,Atelectasis,0.40814072682009583,0.06902789767497157,0.3333333333333333,0.08247860988423225,7
ClueGround,Cardiomegaly,0.8005933995599972,0.01927936794480825,1.0,0.0,61
ClueGround,Consolidation,0.4338355220628727,0.07844382210267611,0.3703703703703704,0.12830005981991682,9
ClueGround,Lung Opacity,0.3163447871745897,0.09302616989167194,0.12121212121212122,0.13886593015017695,11
ClueGround,Pleural Effusion,0.5246163757350389,0.020924919342181485,0.5925925925925926,0.06415002990995838,9
ClueGround,Pneumonia,0.4455854294725455,0.010234392922483381,0.5185185185185185,0.03207501495497924,18
ClueGround,Pneumothorax,0.3845736410138376,0.020881607980263114,0.3263888888888889,0.06364688465216446,48
MedRPG,Atelectasis,0.44324713548329314,0.02477041291707432,0.4761904761904761,0.08247860988423227,7
MedRPG,Cardiomegaly,0.7920932845728533,0.006344071432211603,0.9781420765027322,0.00946475851130535,61
MedRPG,Consolidation,0.4285725970854736,0.04822778534872751,0.3333333333333333,0.0,9
MedRPG,Lung Opacity,0.38635862321797815,0.052633141029917244,0.3333333333333333,0.1049727762162956,11
MedRPG,Pleural Effusion,0.43508147055689333,0.07356013902611047,0.5185185185185185,0.23129622216290366,9
MedRPG,Pneumonia,0.4375933500832345,0.02812768949428356,0.5,0.05555555555555558,18
MedRPG,Pneumothorax,0.4491519560365999,0.022135773973484006,0.4513888888888889,0.04336804165554442,48
TransVG,Atelectasis,0.48978945105438393,0.021163338733749166,0.6190476190476191,0.08247860988423228,7
TransVG,Cardiomegaly,0.7891450398977993,0.0070214030289333625,0.9945355191256832,0.00946475851130535,61
TransVG,Consolidation,0.49918599973670874,0.06982328743534982,0.4444444444444444,0.11111111111111115,9
TransVG,Lung Opacity,0.33817335544908095,0.020625562684911634,0.1818181818181818,0.09090909090909091,11
TransVG,Pleural Effusion,0.44283545067755087,0.05306444810096806,0.48148148148148145,0.12830005981991688,9
TransVG,Pneumonia,0.45009688470836423,0.013435112457315818,0.5925925925925926,0.0641500299099584,18
TransVG,Pneumothorax,0.42492073169057837,0.013704186547227394,0.40972222222222227,0.048112522432468795,48
ClueGround,All,0.5538595993814247,0.0172430065650233,0.6032719836400818,0.018742640879164992,163
MedRPG,All,0.5698112022255287,0.006944335217847136,0.6441717791411042,0.006134969325153408,163
TransVG,All,0.5660270711700183,0.0077961445744406605,0.6482617586912065,0.018742640879164992,163
