seed,variant,scorer,alpha,val_selected_coverage,coverage_iou,exact_union_iou,set_f1_0_3,set_f1_0_5,mean_pred_count
13,learned,hgb,3.0,0.5646997417371425,0.5457197029594641,0.5491163614166283,0.8071212121212121,0.6351515151515152,1.2363636363636363
42,learned,hgb,2.0,0.5801774232918651,0.5392932499395547,0.5408063006146934,0.791969696969697,0.6298484848484849,1.2363636363636363
2026,learned,hgb,4.0,0.5716542117787254,0.5407830459868764,0.5400896093699774,0.7627272727272728,0.608939393939394,1.2545454545454546
