method,comparison_group,fidelity,seed_scope,table_status,n_seeds,seeds,note,mean_iou_mean,mean_iou_std,Hit@0.3_mean,Hit@0.3_std,Hit@0.5_mean,Hit@0.5_std,coverage_iou_mean,coverage_iou_std,hull_iou_mean,hull_iou_std,exact_union_iou_mean,exact_union_iou_std,set_f1_optimal_0_3_mean,set_f1_optimal_0_3_std,set_f1_optimal_0_5_mean,set_f1_optimal_0_5_std,mean_pred_count_mean,mean_pred_count_std
MedGrounder adaptation,external-pretraining arm,official architecture; reconstructed trainer; Chest ImaGenome initialization,full model 13/42/2026,SEPARATE_EXTERNAL,3,"13,42,2026",Native variable-cardinality output; current optimal-matching remeasurement.,,,,,,,0.5336677299017027,0.0035710322732858514,0.5658745860463842,0.0035210306967350465,0.5301190209626432,0.004414099360982241,0.8007070707070708,0.011324511772298674,0.6068686868686869,0.014657345314072211,1.2696969696969698,0.011439143083743553
Ours ROI-token candidate scorer,controlled ours ablation,hybrid-v4 + trainable RAD-DINO ROI-token candidate scorer,full paired 13/42/2026,RANKED_ABLATION,3,"13,42,2026",Canonical 813/124/220. This scorer has not been run under direct-888.,,,,,,,0.529118125307492,0.0022316797301097863,0.5571446462177786,0.0008446045684257949,0.5299399671895472,0.0037033157131093272,0.7702525252525252,0.010132652458880887,0.6181818181818182,0.028826130885967156,1.237878787878788,0.002624319405407439
GroundingDINO-T native-loss,controlled architecture adaptation,architecture adaptation; no published MS-CXR recipe,full adaptation 13/42/2026,APPENDIX,3,"13,42,2026",Canonical 1444 complete 3-seed architecture adaptation.,,,,,,,0.5255207931018856,0.0164085120723003,,,0.4652546781420683,0.0093559660053988,0.6712626262626262,0.0184634473451894,0.5276767676767676,0.0129456572576469,,
Ours YOLO-RAD-DINO hybrid-v4,controlled ours,four finding-conditioned YOLO + phrase-conditioned RAD-DINO,full upstream 13/42/2026,RANKED,3,"13,42,2026","Canonical 813/124/220, validation-only calibration.",,,,,,,0.5210205008113408,0.004636770841826292,0.5488525625310338,0.0061726309689271504,0.520626233480579,0.004071344770529528,0.7626767676767677,0.02123015106766028,0.6003030303030302,0.0072268121319465665,1.2424242424242424,0.0052486388108147495
TransVG controlled,controlled forced-one-box diagnostic,official architecture/code with MS-CXR wrapper,full model 13/42/2026,RANKED_DIAGNOSTIC,3,"13,42,2026",Trained on the canonical 1444 enclosing target and forced to one output box.,0.0,0.0,0.0,0.0,0.0,0.0,0.4891425509876927,0.009194096113607633,0.587469953786405,0.008367817638790773,0.5418974370355297,0.010263268509196758,0.6898989898989898,0.018515457353357013,0.4909090909090909,0.014922511820903192,1.0,0.0
MedRPG faithful v2,controlled forced-one-box diagnostic,official code/recipe with compatibility wrapper,full model 13/42/2026,RANKED_DIAGNOSTIC,3,"13,42,2026",Trained on the canonical 1444 enclosing target and forced to one output box.,0.0,0.0,0.0,0.0,0.0,0.0,0.4891118030867399,0.003860741944229511,0.5835998216531476,0.0033063061627007936,0.5395819113344063,0.004393628253585493,0.7012626262626261,0.009652280229099152,0.4904040404040404,0.015176746667996701,1.0,0.0
GuideDecoder box-mask,segmentation-to-box adaptation,paper task adapted from segmentation to box grounding,full adaptation 13/42/2026,APPENDIX,3,"13,42,2026",Canonical phrase-group adaptation; appendix comparison.,,,,,,,0.4609348780146052,0.0050819396733022,,,0.4334528239049267,0.0120963848493821,0.63510101010101,0.0152348717156471,0.4572222222222222,0.0099774002354123,1.5196969696969695,0.0819863591422344
LViT box-mask,segmentation-to-box adaptation,paper task adapted from segmentation to box grounding,full adaptation 13/42/2026,APPENDIX,3,"13,42,2026",Canonical phrase-group adaptation; appendix comparison.,,,,,,,0.399381456654431,0.0079988455550563,,,0.3797034583314564,0.0023984035330463,0.5938888888888888,0.0075062467608419,0.3802525252525252,0.0131951633364642,1.4363636363636365,0.0409090909090908
MDETR-style token-box,controlled local forced-one-box ablation,"local MDETR-inspired implementation, not official MDETR",full local model 13/42/2026,APPENDIX,3,"13,42,2026",Canonical 1444 enclosing target; one output box.,0.0,0.0,0.0,0.0,0.0,0.0,0.3664036587734459,0.010496043828301122,0.45376327997107696,0.012872595461538414,0.41167664214805866,0.010007750801054403,0.5391414141414141,0.024540465885366382,0.30757575757575756,0.04250533375486529,1.0,0.0
