seed,selected_variant,selection_split,gate_best_epoch,train_gate_rows,val_gate_rows,val_base_mean_iou,val_no_siglip_mean_iou,base_mean_iou,base_hit_0_3,base_hit_0_5,no_siglip_mean_iou,no_siglip_hit_0_3,no_siglip_hit_0_5,selected_mean_iou,selected_hit_0_3,selected_hit_0_5,gold_mutation_independence
13,base,direct-888 validation only,81,617,78,0.6306205872584366,0.6288208018895709,0.5568400021285286,0.7914110429447853,0.6257668711656442,0.5645106457591261,0.7975460122699386,0.6319018404907976,0.5568400021285286,0.7914110429447853,0.6257668711656442,True
42,base,direct-888 validation only,77,617,78,0.6022998419038031,0.5930837817175502,0.5524937897187469,0.7730061349693251,0.6134969325153374,0.5518735206634214,0.7607361963190185,0.6319018404907976,0.5524937897187469,0.7730061349693251,0.6134969325153374,True
2026,base,direct-888 validation only,2,617,78,0.6371173711557342,0.6235467724510293,0.5365607839844914,0.754601226993865,0.6380368098159509,0.530832818274463,0.7300613496932515,0.6196319018404908,0.5365607839844914,0.754601226993865,0.6380368098159509,True
