seed,scorer,alpha,mean_iou,Hit@0.3,Hit@0.5
13,extra,1.5,0.5631343239102995,0.8220858895705522,0.6073619631901841
42,hgb,6.0,0.5339642592337108,0.7668711656441718,0.5828220858895705
2026,hgb,4.0,0.5644802150002637,0.8098159509202454,0.6196319018404908
