method,comparison_group,fidelity,seed_scope,table_status,n_seeds,seeds,note,mean_iou_mean,mean_iou_std,Hit@0.3_mean,Hit@0.3_std,Hit@0.5_mean,Hit@0.5_std,coverage_iou_mean,coverage_iou_std,hull_iou_mean,hull_iou_std,exact_union_iou_mean,exact_union_iou_std,set_f1_optimal_0_3_mean,set_f1_optimal_0_3_std,set_f1_optimal_0_5_mean,set_f1_optimal_0_5_std,mean_pred_count_mean,mean_pred_count_std
MedRPG faithful v2,controlled paper baseline,official code/recipe with compatibility wrapper,full model 13/42/2026,RANKED,3,"13,42,2026",Direct-888 train638/val87/eval163.,0.5698112022255288,0.006944335217847184,0.8077709611451943,0.021545304198062845,0.6441717791411042,0.006134969325153394,0.5698112022255288,0.006944335217847184,0.5698112022255288,0.006944335217847184,0.5698112022255288,0.006944335217847184,0.8077709611451943,0.021545304198062845,0.6441717791411042,0.006134969325153394,1.0,0.0
TransVG controlled,controlled paper baseline,official architecture/code with MS-CXR wrapper,full model 13/42/2026,RANKED,3,"13,42,2026",Direct-888 train638/val87/eval163.,0.5660270711700184,0.007796144574440727,0.8261758691206543,0.009371320439582501,0.6482617586912065,0.018742640879165003,0.5660270711700184,0.007796144574440727,0.5660270711700184,0.007796144574440727,0.5660270711700184,0.007796144574440727,0.8261758691206543,0.009371320439582501,0.6482617586912065,0.018742640879165003,1.0,0.0
Ours YOLO-RAD-DINO hybrid-v4,controlled ours,four finding-conditioned YOLO + phrase-conditioned RAD-DINO,full upstream 13/42/2026,RANKED,3,"13,42,2026",The paired semantic MoE selected base for all three seeds; this is the base hybrid result.,0.5486315252772557,0.010677054233044237,0.7730061349693251,0.018404907975460127,0.6257668711656441,0.012269938650306733,,,,,,,,,,,1.030674846625767,0.01062607857404213
MedGrounder adaptation,external-pretraining arm,official architecture; reconstructed trainer; Chest ImaGenome initialization,full model 13/42/2026,SEPARATE_EXTERNAL,3,"13,42,2026",Not MS-CXR-task-supervision-only.,0.5462024766064061,0.0028076918428457296,0.7955010224948875,0.003542026191347377,0.6134969325153374,0.016231603135365598,0.5462024766064061,0.0028076918428457296,0.5462024766064061,0.0028076918428457296,0.5462024766064061,0.0028076918428457296,0.7955010224948875,0.003542026191347377,0.6134969325153374,0.016231603135365598,0.9979550102249489,0.003542026191347377
GroundingDINO-T native-loss,controlled architecture adaptation,architecture adaptation; no published MS-CXR recipe,full adaptation 13/42/2026,APPENDIX,3,"13,42,2026",Direct-888 complete 3-seed adaptation.,0.474006714756815,0.0011131794174056,0.6646216768916154,0.0035420261913474,0.5316973415132925,0.0154393342234575,,,,,,,,,,,,
GuideDecoder box-mask,segmentation-to-box adaptation,paper task adapted from segmentation to box grounding,full adaptation 13/42/2026,APPENDIX,3,"13,42,2026",Direct-888 complete 3-seed adaptation.,0.4227974251787403,0.0046010030540798,0.5971370143149285,0.0302630850448849,0.4723926380368098,0.0221199464752391,,,,,,,,,,,,
MDETR-style token-box,controlled local ablation,"local MDETR-inspired implementation, not official MDETR",full local model 13/42/2026,APPENDIX,3,"13,42,2026",Do not label as official MDETR reproduction.,0.4174185326172446,0.006902711740429894,0.6748466257668712,0.02211994647523918,0.40286298568507156,0.009371320439582496,0.4174185326172446,0.006902711740429894,0.4174185326172446,0.006902711740429894,0.4174185326172446,0.006902711740429894,0.6748466257668712,0.02211994647523918,0.40286298568507156,0.009371320439582496,1.0,0.0
LViT box-mask,segmentation-to-box adaptation,paper task adapted from segmentation to box grounding,full adaptation 13/42/2026,APPENDIX,3,"13,42,2026",Direct-888 complete 3-seed adaptation.,0.3816354134676852,0.0032730710914374,0.5828220858895706,0.0221199464752391,0.4192229038854806,0.0255419141038789,,,,,,,,,,,,
