method,seed,metric,point_estimate,ci_95_low,ci_95_high,n_clusters,n_rows,bootstrap_reps,bootstrap_unit
clueground_reranker,42,coverage_iou,0.4707324437161375,0.43870503934783955,0.5040975603792786,214,278,2000,subject_id
clueground_reranker,42,exact_union_iou,0.4741154964530682,0.44294859500232553,0.5073722623082805,214,278,2000,subject_id
clueground_reranker,42,set_f1_optimal_0_3,0.7093525179856115,0.6586113127646702,0.7580957995267071,214,278,2000,subject_id
clueground_reranker,42,set_f1_optimal_0_5,0.5194244604316546,0.4614862389598625,0.5801783008658008,214,278,2000,subject_id
hybrid_no_reranker,42,coverage_iou,0.45125537860165266,0.418313968729225,0.48612285206779804,214,278,2000,subject_id
hybrid_no_reranker,42,exact_union_iou,0.45129845268479707,0.41750665676586063,0.4857070206563611,214,278,2000,subject_id
hybrid_no_reranker,42,set_f1_optimal_0_3,0.6601918465227817,0.6059377915849138,0.7133625954198474,214,278,2000,subject_id
hybrid_no_reranker,42,set_f1_optimal_0_5,0.4996402877697841,0.44505330107566593,0.5584072383633741,214,278,2000,subject_id
rad_dino_only,42,coverage_iou,0.39697914426213127,0.36928509530446635,0.42631967036829516,214,278,2000,subject_id
rad_dino_only,42,exact_union_iou,0.41553250153740906,0.3880937199037657,0.443265172056145,214,278,2000,subject_id
rad_dino_only,42,set_f1_optimal_0_3,0.6139088729016786,0.5600978797652891,0.6750957124392745,214,278,2000,subject_id
rad_dino_only,42,set_f1_optimal_0_5,0.3980815347721823,0.338181379007466,0.4624130288407586,214,278,2000,subject_id
