method,seed,metric,point_estimate,ci_95_low,ci_95_high,n_clusters,n_rows,bootstrap_reps,bootstrap_unit
clueground_reranker,2026,coverage_iou,0.5356018731823844,0.4931920159196851,0.5769291176840522,161,194,2000,subject_id
clueground_reranker,2026,exact_union_iou,0.537711521486441,0.4957223743177672,0.5783443350219627,161,194,2000,subject_id
clueground_reranker,2026,set_f1_optimal_0_3,0.7671821305841924,0.7081252419667053,0.8219298245614035,161,194,2000,subject_id
clueground_reranker,2026,set_f1_optimal_0_5,0.6245704467353952,0.5547616172072695,0.6935867059426228,161,194,2000,subject_id
hybrid_no_reranker,2026,coverage_iou,0.4739617811553538,0.4259407819331493,0.5229797848829836,161,194,2000,subject_id
hybrid_no_reranker,2026,exact_union_iou,0.4745822771549778,0.4266570387821728,0.5233317741941184,161,194,2000,subject_id
hybrid_no_reranker,2026,set_f1_optimal_0_3,0.6572164948453607,0.5915829827801433,0.7244906770998555,161,194,2000,subject_id
hybrid_no_reranker,2026,set_f1_optimal_0_5,0.563573883161512,0.49286156117806684,0.6329823937771829,161,194,2000,subject_id
rad_dino_only,2026,coverage_iou,0.45048863873536643,0.41466508862439094,0.4874202220596741,161,194,2000,subject_id
rad_dino_only,2026,exact_union_iou,0.46203959843198017,0.42681249332288684,0.4966934779802492,161,194,2000,subject_id
rad_dino_only,2026,set_f1_optimal_0_3,0.6924398625429554,0.6281309253543522,0.7559372018388409,161,194,2000,subject_id
rad_dino_only,2026,set_f1_optimal_0_5,0.520618556701031,0.45408094318808606,0.5879278273809523,161,194,2000,subject_id
