method,seed,metric,point_estimate,ci_95_low,ci_95_high,n_clusters,n_rows,bootstrap_reps,bootstrap_unit
medgrounder,13,coverage_iou,0.40970883063587366,0.37758262943089926,0.44018799524290847,214,278,2000,subject_id
medgrounder,13,exact_union_iou,0.40191934372627686,0.3698360547934332,0.4324308344014949,214,278,2000,subject_id
medgrounder,13,set_f1_optimal_0_3,0.6220623501199041,0.5627995724360042,0.6782062771198746,214,278,2000,subject_id
medgrounder,13,set_f1_optimal_0_5,0.3994004796163069,0.3456682177463078,0.4563497341722758,214,278,2000,subject_id
