method,seed,metric,point_estimate,ci_95_low,ci_95_high,n_clusters,n_rows,bootstrap_reps,bootstrap_unit
clueground_reranker,13,coverage_iou,0.46874990937384353,0.4365042076387524,0.49901251948119846,214,278,2000,subject_id
clueground_reranker,13,exact_union_iou,0.46983190029617117,0.4379968885808459,0.4998788813098298,214,278,2000,subject_id
clueground_reranker,13,set_f1_optimal_0_3,0.701558752997602,0.6480814790546744,0.7501364951097329,214,278,2000,subject_id
clueground_reranker,13,set_f1_optimal_0_5,0.5176258992805756,0.45871755634638195,0.5775406403940886,214,278,2000,subject_id
hybrid_no_reranker,13,coverage_iou,0.42025658420394735,0.3868264991556067,0.452868874377196,214,278,2000,subject_id
hybrid_no_reranker,13,exact_union_iou,0.42087543212377215,0.3872643265353821,0.4539996400768356,214,278,2000,subject_id
hybrid_no_reranker,13,set_f1_optimal_0_3,0.6134292565947242,0.5609171075837742,0.6626979945255165,214,278,2000,subject_id
hybrid_no_reranker,13,set_f1_optimal_0_5,0.44844124700239807,0.39289799424253635,0.5057198695807814,214,278,2000,subject_id
rad_dino_only,13,coverage_iou,0.36694918375988533,0.33968345501020225,0.3961298738101824,214,278,2000,subject_id
rad_dino_only,13,exact_union_iou,0.38765090423909077,0.3614418419535526,0.4146149753468225,214,278,2000,subject_id
rad_dino_only,13,set_f1_optimal_0_3,0.5653477218225419,0.5059873691955526,0.6271224961479198,214,278,2000,subject_id
rad_dino_only,13,set_f1_optimal_0_5,0.33333333333333337,0.279210557676511,0.391145187866973,214,278,2000,subject_id
