method,seed,metric,point_estimate,ci_95_low,ci_95_high,n_clusters,n_rows,bootstrap_reps,bootstrap_unit
clueground_reranker,13,coverage_iou,0.5412825983145195,0.5057685217676547,0.5786761494346135,161,194,2000,subject_id
clueground_reranker,13,exact_union_iou,0.5442612304922534,0.5080027352350206,0.5815218125741806,161,194,2000,subject_id
clueground_reranker,13,set_f1_optimal_0_3,0.7869415807560138,0.7314303786741562,0.8420185062056736,161,194,2000,subject_id
clueground_reranker,13,set_f1_optimal_0_5,0.6640893470790379,0.6009153405918481,0.728950179937022,161,194,2000,subject_id
hybrid_no_reranker,13,coverage_iou,0.49356653843780346,0.4492896583405544,0.5364572347868989,161,194,2000,subject_id
hybrid_no_reranker,13,exact_union_iou,0.49628257227881284,0.45244656216902773,0.5394077535100442,161,194,2000,subject_id
hybrid_no_reranker,13,set_f1_optimal_0_3,0.7302405498281787,0.6666666666666666,0.7914532019704432,161,194,2000,subject_id
hybrid_no_reranker,13,set_f1_optimal_0_5,0.595360824742268,0.5251256281407035,0.6641166076983557,161,194,2000,subject_id
rad_dino_only,13,coverage_iou,0.42261552393335816,0.39108389037956526,0.45678852153300925,161,194,2000,subject_id
rad_dino_only,13,exact_union_iou,0.43459804546143815,0.4031949860610938,0.46752752324883357,161,194,2000,subject_id
rad_dino_only,13,set_f1_optimal_0_3,0.6512027491408935,0.5865316164154104,0.7200081300813007,161,194,2000,subject_id
rad_dino_only,13,set_f1_optimal_0_5,0.44329896907216493,0.3729598731384446,0.5159617364447494,161,194,2000,subject_id
