method,seed,metric,point_estimate,ci_95_low,ci_95_high,n_clusters,n_rows,bootstrap_reps,bootstrap_unit
medgrounder,2026,coverage_iou,0.4169862464177255,0.3840849447605376,0.4482262479201476,214,278,2000,subject_id
medgrounder,2026,exact_union_iou,0.4071017518764543,0.37510685037766056,0.43793928648890784,214,278,2000,subject_id
medgrounder,2026,set_f1_optimal_0_3,0.6255395683453238,0.5688676383674037,0.6825797595841455,214,278,2000,subject_id
medgrounder,2026,set_f1_optimal_0_5,0.39400479616306955,0.3374977517985611,0.4468796589863982,214,278,2000,subject_id
