method,seed,metric,point_estimate,ci_95_low,ci_95_high,n_clusters,n_rows,bootstrap_reps,bootstrap_unit
medgrounder,42,coverage_iou,0.41817291780697696,0.383953923003672,0.44874497871552355,214,278,2000,subject_id
medgrounder,42,exact_union_iou,0.4097307644291509,0.37539278032931506,0.4407692336949539,214,278,2000,subject_id
medgrounder,42,set_f1_optimal_0_3,0.6103117505995204,0.55068975255039,0.6684429486726496,214,278,2000,subject_id
medgrounder,42,set_f1_optimal_0_5,0.39460431654676253,0.33899773930855315,0.4473446054750403,214,278,2000,subject_id
