method,seed,metric,point_estimate,ci_95_low,ci_95_high,n_clusters,n_rows,bootstrap_reps,bootstrap_unit
medgrounder,13,coverage_iou,0.4314977917587811,0.39279989502111534,0.47011727657572294,161,194,2000,subject_id
medgrounder,13,exact_union_iou,0.4234595450330316,0.38338038810222946,0.46341786207726,161,194,2000,subject_id
medgrounder,13,set_f1_optimal_0_3,0.6520618556701031,0.5850502577319588,0.7193924792139077,161,194,2000,subject_id
medgrounder,13,set_f1_optimal_0_5,0.45274914089347085,0.3809403559403559,0.5240552125254975,161,194,2000,subject_id
