method,seed,metric,point_estimate,ci_95_low,ci_95_high,n_clusters,n_rows,bootstrap_reps,bootstrap_unit
medgrounder,42,coverage_iou,0.4424483465304729,0.4033744392048829,0.48346163315673335,161,194,2000,subject_id
medgrounder,42,exact_union_iou,0.4323149693357654,0.3921162472064118,0.4740808974026773,161,194,2000,subject_id
medgrounder,42,set_f1_optimal_0_3,0.6481099656357389,0.5822908703322552,0.7152323311206559,161,194,2000,subject_id
medgrounder,42,set_f1_optimal_0_5,0.45618556701030927,0.3883188446667811,0.5267072290737339,161,194,2000,subject_id
