method,vs,seed,metric,mean_difference,ci_95_low,ci_95_high,p_bootstrap_two_sided,n_groups,n_subjects,groups_a_better,groups_b_better
reranker_noaux_valalpha,medgrounder,13,set_f1_optimal_0_5,0.011363636363636364,-0.04125954849006027,0.06190760105179465,0.659,220,170,33,27
reranker_noaux_valalpha,medgrounder,42,coverage_iou,0.00477115290427269,-0.020322703140367646,0.03001038389898048,0.739,220,170,117,101
reranker_noaux_valalpha,medgrounder,42,exact_union_iou,0.011537683158512545,-0.014111813790344284,0.037385079721592586,0.401,220,170,117,101
reranker_noaux_valalpha,medgrounder,42,set_f1_optimal_0_3,0.001212121212121212,-0.06123516349700942,0.05815620929222751,0.991,220,170,28,30
reranker_noaux_valalpha,medgrounder,42,set_f1_optimal_0_5,0.03106060606060606,-0.02902251562699324,0.09147565047202393,0.315,220,170,39,29
reranker_noaux_valalpha,medgrounder,2026,coverage_iou,0.011036038559381404,-0.013686053328246914,0.03523148324438476,0.396,220,170,123,96
reranker_noaux_valalpha,medgrounder,2026,exact_union_iou,0.013897614081038514,-0.010493466184178325,0.03793464671655916,0.274,220,170,123,96
reranker_noaux_valalpha,medgrounder,2026,set_f1_optimal_0_3,-0.035606060606060606,-0.08989540865851291,0.015488205900100986,0.183,220,170,19,33
reranker_noaux_valalpha,medgrounder,2026,set_f1_optimal_0_5,0.01090909090909091,-0.04673358460473653,0.07459772088905171,0.74,220,170,35,32
reranker_noaux_pooledalpha,medgrounder,13,coverage_iou,-0.024784264953521748,-0.0475521223358752,-0.0013074253165972867,0.036,220,170,108,108
reranker_noaux_pooledalpha,medgrounder,13,exact_union_iou,-0.018064011528800914,-0.04144304082793516,0.005627740922129554,0.133,220,170,112,104
reranker_noaux_pooledalpha,medgrounder,13,set_f1_optimal_0_3,-0.05818181818181818,-0.10724214554435542,-0.008525277252327447,0.022,220,170,16,33
reranker_noaux_pooledalpha,medgrounder,13,set_f1_optimal_0_5,-0.029545454545454545,-0.08633116883116884,0.029170330820770494,0.345,220,170,30,36
reranker_noaux_pooledalpha,medgrounder,42,coverage_iou,-0.002412103713949396,-0.025938537194287525,0.020054765917167316,0.823,220,170,109,109
reranker_noaux_pooledalpha,medgrounder,42,exact_union_iou,0.007290443162730321,-0.017213859565311254,0.029938211215923816,0.557,220,170,110,108
reranker_noaux_pooledalpha,medgrounder,42,set_f1_optimal_0_3,-0.009090909090909089,-0.06933676012461058,0.047408255607372815,0.704,220,170,26,29
reranker_noaux_pooledalpha,medgrounder,42,set_f1_optimal_0_5,0.029848484848484846,-0.022348255242463956,0.08541690891472868,0.273,220,170,36,28
reranker_noaux_pooledalpha,medgrounder,2026,coverage_iou,0.010751824854854222,-0.01283543746032033,0.03448229324109692,0.348,220,170,121,98
reranker_noaux_pooledalpha,medgrounder,2026,exact_union_iou,0.017089149017778887,-0.0062929325324600615,0.04035311939223526,0.142,220,170,124,95
reranker_noaux_pooledalpha,medgrounder,2026,set_f1_optimal_0_3,-0.019090909090909092,-0.06880771981073228,0.029475073014114946,0.447,220,170,20,29
reranker_noaux_pooledalpha,medgrounder,2026,set_f1_optimal_0_5,0.014545454545454545,-0.0457282336803034,0.07706394199327765,0.652,220,170,38,34
reranker_aux_valalpha,medgrounder,13,coverage_iou,0.005311082600947974,-0.016891366770380514,0.026646349775744937,0.629,220,170,123,94
reranker_aux_valalpha,medgrounder,13,exact_union_iou,0.010582383140640288,-0.010838510162537085,0.031614122988894586,0.334,220,170,124,93
reranker_aux_valalpha,medgrounder,13,set_f1_optimal_0_3,-0.02181818181818182,-0.06901370341276077,0.02686787749287741,0.369,220,170,16,25
reranker_aux_valalpha,medgrounder,13,set_f1_optimal_0_5,0.019696969696969695,-0.03227347834665088,0.07306052546744031,0.463,220,170,31,24
reranker_aux_valalpha,medgrounder,42,coverage_iou,0.014668865549005424,-0.006156187896999934,0.03597646464569995,0.169,220,170,120,97
reranker_aux_valalpha,medgrounder,42,exact_union_iou,0.023501157321514185,0.002512016120854144,0.04443213894896701,0.027,220,170,121,96
reranker_aux_valalpha,medgrounder,42,set_f1_optimal_0_3,0.02621212121212121,-0.03127391395154553,0.08011723770034673,0.392,220,170,29,24
reranker_aux_valalpha,medgrounder,42,set_f1_optimal_0_5,0.04924242424242424,-0.006610892712510618,0.10478650523423381,0.094,220,170,40,26
reranker_aux_valalpha,medgrounder,2026,coverage_iou,0.00147821410883538,-0.02460879406104775,0.025206286854260893,0.893,220,170,112,107
reranker_aux_valalpha,medgrounder,2026,exact_union_iou,0.00814791085866001,-0.016540021659151485,0.03171101428687724,0.471,220,170,117,102
