method,seed,metric,point_estimate,ci_95_low,ci_95_high,n_clusters,n_rows,bootstrap_reps,bootstrap_unit
clueground_canonical,13,coverage_iou,0.517981061560892,0.48032916249923396,0.5553944031906514,170,220,2000,subject_id
clueground_canonical,13,exact_union_iou,0.51892668702883,0.4823274957226209,0.5548050015616538,170,220,2000,subject_id
clueground_canonical,13,set_f1_optimal_0_3,0.7616666666666666,0.7112505581115447,0.812329306722689,170,220,2000,subject_id
clueground_canonical,13,set_f1_optimal_0_5,0.6086363636363636,0.5443414890661586,0.6719706163577522,170,220,2000,subject_id
clueground_canonical,42,coverage_iou,0.5366619988274577,0.5020881169270317,0.5728798258307667,170,220,2000,subject_id
clueground_canonical,42,exact_union_iou,0.5354951387795397,0.5010713365270628,0.5711704452576991,170,220,2000,subject_id
clueground_canonical,42,set_f1_optimal_0_3,0.798030303030303,0.7494983020795768,0.8441380000432704,170,220,2000,subject_id
clueground_canonical,42,set_f1_optimal_0_5,0.595,0.5312482886621219,0.6606404543468762,170,220,2000,subject_id
clueground_canonical,2026,coverage_iou,0.5187230224299466,0.4761393133076658,0.5616695330035846,170,220,2000,subject_id
clueground_canonical,2026,exact_union_iou,0.5176800213753072,0.47592615827933626,0.5600466287467716,170,220,2000,subject_id
clueground_canonical,2026,set_f1_optimal_0_3,0.7419696969696971,0.682821803027952,0.7968972395678462,170,220,2000,subject_id
clueground_canonical,2026,set_f1_optimal_0_5,0.5957575757575757,0.5185854360766046,0.6689825733752621,170,220,2000,subject_id
clueground_gate_always,13,coverage_iou,0.5382972671548184,0.4945292335036719,0.5763949721582068,170,220,2000,subject_id
clueground_gate_always,13,exact_union_iou,0.5384825005567763,0.4958625834874307,0.5764604517069534,170,220,2000,subject_id
clueground_gate_always,13,set_f1_optimal_0_3,0.798030303030303,0.7380349496350067,0.8539686411149825,170,220,2000,subject_id
clueground_gate_always,13,set_f1_optimal_0_5,0.6086363636363636,0.529661893820961,0.6776768165992811,170,220,2000,subject_id
clueground_gate_always,42,coverage_iou,0.5366619988274577,0.5030387858545711,0.5722316298973819,170,220,2000,subject_id
clueground_gate_always,42,exact_union_iou,0.5354951387795397,0.5019720952612066,0.5710985934733384,170,220,2000,subject_id
clueground_gate_always,42,set_f1_optimal_0_3,0.798030303030303,0.7502857252499366,0.8449846127090705,170,220,2000,subject_id
clueground_gate_always,42,set_f1_optimal_0_5,0.595,0.5307666666666667,0.6595658878504672,170,220,2000,subject_id
clueground_gate_always,2026,coverage_iou,0.5256618196861723,0.48640595835511524,0.5668317334937969,170,220,2000,subject_id
clueground_gate_always,2026,exact_union_iou,0.5240527213166257,0.48514707259798845,0.5656610496134922,170,220,2000,subject_id
clueground_gate_always,2026,set_f1_optimal_0_3,0.7616666666666666,0.7033730097660134,0.8223168579931973,170,220,2000,subject_id
clueground_gate_always,2026,set_f1_optimal_0_5,0.5942424242424243,0.5216270833333334,0.670503696455751,170,220,2000,subject_id
clueground_hybrid_base,13,coverage_iou,0.517981061560892,0.4796696638626031,0.5564090105755404,170,220,2000,subject_id
clueground_hybrid_base,13,exact_union_iou,0.51892668702883,0.4815879559561611,0.5569297803740565,170,220,2000,subject_id
clueground_hybrid_base,13,set_f1_optimal_0_3,0.7616666666666666,0.709477494266055,0.8118531746031745,170,220,2000,subject_id
clueground_hybrid_base,13,set_f1_optimal_0_5,0.6086363636363636,0.5452292188805347,0.674170489296636,170,220,2000,subject_id
clueground_hybrid_base,42,coverage_iou,0.5263574184431841,0.49142761048448275,0.5635523060770421,170,220,2000,subject_id
clueground_hybrid_base,42,exact_union_iou,0.5252719920376,0.4898930084868155,0.5626063793756511,170,220,2000,subject_id
clueground_hybrid_base,42,set_f1_optimal_0_3,0.7843939393939394,0.7347197061191626,0.8317712798530313,170,220,2000,subject_id
clueground_hybrid_base,42,set_f1_optimal_0_5,0.5965151515151516,0.5321632160110421,0.6655931661486799,170,220,2000,subject_id
clueground_hybrid_base,2026,coverage_iou,0.5187230224299466,0.4769359279232009,0.5622279180966425,170,220,2000,subject_id
clueground_hybrid_base,2026,exact_union_iou,0.5176800213753072,0.47559179622422004,0.5614759100855218,170,220,2000,subject_id
clueground_hybrid_base,2026,set_f1_optimal_0_3,0.7419696969696971,0.6795541471048514,0.8007667406585275,170,220,2000,subject_id
clueground_hybrid_base,2026,set_f1_optimal_0_5,0.5957575757575757,0.5224104013816403,0.6724644135742921,170,220,2000,subject_id
clueground_legacy_paper,13,coverage_iou,0.5411582858493922,0.5047078007621912,0.578927042527196,170,220,2000,subject_id
clueground_legacy_paper,13,exact_union_iou,0.5411835548868084,0.5051462865170188,0.5782246589513094,170,220,2000,subject_id
clueground_legacy_paper,13,set_f1_optimal_0_3,0.7886363636363637,0.736361607142857,0.8380508733494293,170,220,2000,subject_id
clueground_legacy_paper,13,set_f1_optimal_0_5,0.6106060606060605,0.5466727053140097,0.6748771234177914,170,220,2000,subject_id
clueground_legacy_paper,42,coverage_iou,0.5362405546870559,0.5025095742389041,0.5733274439166788,170,220,2000,subject_id
