method,seed,metric,point_estimate,ci_95_low,ci_95_high,n_clusters,n_rows,bootstrap_reps,bootstrap_unit
clueground_base,13,mean_iou_row,0.5568400021285286,0.5114389471169938,0.605649375890929,128,163,2000,subject_id
clueground_base,13,hit_0_3,0.7914110429447853,0.7311780796076213,0.8543046357615894,128,163,2000,subject_id
clueground_base,13,hit_0_5,0.6257668711656442,0.5465086310237353,0.7143073593073592,128,163,2000,subject_id
clueground_base,42,mean_iou_row,0.5524937897187469,0.5055929066619929,0.6039535507095342,128,163,2000,subject_id
clueground_base,42,hit_0_3,0.7730061349693251,0.6973666429587482,0.8494044806677691,128,163,2000,subject_id
clueground_base,42,hit_0_5,0.6134969325153374,0.5358961650958726,0.6981302568765627,128,163,2000,subject_id
clueground_base,2026,mean_iou_row,0.5365607839844914,0.48833718203562415,0.5863793189947173,128,163,2000,subject_id
clueground_base,2026,hit_0_3,0.754601226993865,0.6827846299810246,0.8311688311688312,128,163,2000,subject_id
clueground_base,2026,hit_0_5,0.6380368098159509,0.5588235294117647,0.7177953437155891,128,163,2000,subject_id
clueground_reranker,13,mean_iou_row,0.5631343239102995,0.5144435576112021,0.6131521814536696,128,163,2000,subject_id
clueground_reranker,13,hit_0_3,0.8220858895705522,0.7558074935400517,0.8827656785642266,128,163,2000,subject_id
clueground_reranker,13,hit_0_5,0.6073619631901841,0.5168539325842697,0.6942675159235668,128,163,2000,subject_id
clueground_reranker,42,mean_iou_row,0.5339642592337108,0.4853924015676917,0.5861352084695638,128,163,2000,subject_id
clueground_reranker,42,hit_0_3,0.7668711656441718,0.6951091719001022,0.8410857441617287,128,163,2000,subject_id
clueground_reranker,42,hit_0_5,0.5828220858895705,0.5,0.6732165206508135,128,163,2000,subject_id
clueground_reranker,2026,mean_iou_row,0.5644802150002637,0.5175657266623607,0.6135564298567191,128,163,2000,subject_id
clueground_reranker,2026,hit_0_3,0.8098159509202454,0.7483870967741936,0.8732417840375586,128,163,2000,subject_id
clueground_reranker,2026,hit_0_5,0.6196319018404908,0.5384493670886076,0.7032438455008488,128,163,2000,subject_id
medrpg,13,mean_iou_row,0.5649219843561499,0.5226228697362042,0.6106602423336532,128,163,2000,subject_id
medrpg,13,hit_0_3,0.8098159509202454,0.7469135802469136,0.8722287472035793,128,163,2000,subject_id
medrpg,13,hit_0_5,0.6380368098159509,0.5628648952095808,0.7218724631488997,128,163,2000,subject_id
medrpg,42,mean_iou_row,0.5667516806124259,0.5234408759491501,0.6102871862593396,128,163,2000,subject_id
medrpg,42,hit_0_3,0.7852760736196319,0.7212121212121212,0.8481056307289393,128,163,2000,subject_id
medrpg,42,hit_0_5,0.6441717791411042,0.5632097873219079,0.7290417457305503,128,163,2000,subject_id
medrpg,2026,mean_iou_row,0.5777599417080106,0.5338164068207267,0.6216264612771144,128,163,2000,subject_id
medrpg,2026,hit_0_3,0.8282208588957055,0.7696400983146068,0.8874172185430463,128,163,2000,subject_id
medrpg,2026,hit_0_5,0.6503067484662577,0.5683060109289617,0.7371794871794872,128,163,2000,subject_id
transvg,13,mean_iou_row,0.5644840146818786,0.524494186977358,0.6081554049572271,128,163,2000,subject_id
transvg,13,hit_0_3,0.8159509202453987,0.7560904707884288,0.877422646477946,128,163,2000,subject_id
transvg,13,hit_0_5,0.6441717791411042,0.5672470047068892,0.7260295785708053,128,163,2000,subject_id
transvg,42,mean_iou_row,0.5744793612728746,0.5349270117496107,0.614629662960809,128,163,2000,subject_id
transvg,42,hit_0_3,0.8343558282208589,0.7751442307692308,0.891724048889654,128,163,2000,subject_id
transvg,42,hit_0_5,0.6687116564417178,0.5942770562770563,0.7426942355889724,128,163,2000,subject_id
transvg,2026,mean_iou_row,0.5591178375553018,0.5193115604950201,0.6034923500017397,128,163,2000,subject_id
transvg,2026,hit_0_3,0.8282208588957055,0.772992358840601,0.8896698906644238,128,163,2000,subject_id
transvg,2026,hit_0_5,0.6319018404907976,0.5549132947976878,0.7124649859943976,128,163,2000,subject_id
