configuration,coverage_mean_iou_mean,coverage_mean_iou_std,exact_rectangle_union_iou_mean,exact_rectangle_union_iou_std,set_f1_0_3_mean,set_f1_0_3_std,set_f1_0_5_mean,set_f1_0_5_std,mean_pred_count_mean,mean_pred_count_std
YOLO only,0.5157399524121948,0.0053315743019437,0.5142600794023321,0.0033462292725622,0.7444949494949494,0.0084473377190291,0.5808585858585859,0.011572160845848,1.2378787878787878,0.0069432965075087
RAD-DINO only,0.4033078617619828,0.0092058830445793,0.4441395919276779,0.0128594759738157,0.6305555555555555,0.0089744220423822,0.3638888888888889,0.0323754707300031,1.0,0.0
YOLO + RAD-DINO (ClueGround),0.5372594933248681,0.0035023119154153,0.5372609060996248,0.0034646020706029,0.7726767676767676,0.0169712751791372,0.6148484848484849,0.0148554405476893,1.234848484848485,0.0069432965075088
