configuration,coverage_mean_iou_mean,coverage_mean_iou_std,exact_rectangle_union_iou_mean,exact_rectangle_union_iou_std,set_f1_0_3_mean,set_f1_0_3_std,set_f1_0_5_mean,set_f1_0_5_std,mean_pred_count_mean,mean_pred_count_std
Full query,0.5372594933248681,0.0035023119154153,0.5372609060996248,0.0034646020706029,0.7726767676767676,0.0169712751791372,0.6148484848484849,0.0148554405476893,1.234848484848485,0.0069432965075088
RAD-DINO query: finding only,0.5232411119533019,0.0079552506149937,0.5226234094237323,0.0074206950557853,0.7487878787878787,0.0204965897855586,0.5942424242424242,0.0105245787798862,1.2378787878787878,0.0069432965075087
-f,0.5339476657877078,0.0047083829627706,0.5335389611932597,0.0041655528914118,0.7653535353535353,0.0188399409002573,0.6067676767676767,0.0147727920226501,1.234848484848485,0.0069432965075088
-laterality,0.5333685772130122,0.0053866141522119,0.5333592468239513,0.0053908016100758,0.7645959595959596,0.0209432819556918,0.6095454545454545,0.011724570983123,1.2363636363636366,0.0045454545454545
-vertical,0.5376324748882454,0.0042215353652654,0.5374738468674645,0.0040081013373774,0.7711616161616162,0.015433983151964,0.6196464646464647,0.010366707560766,1.234848484848485,0.0069432965075088
-severity,0.5374054122298187,0.0041515282916556,0.5372955601626951,0.0040578590538333,0.7726767676767676,0.0169712751791372,0.6156060606060606,0.0145864321776469,1.234848484848485,0.0069432965075088
-uncertainty,0.5372606429326299,0.00351994788359,0.5372314717321033,0.0035143764304373,0.7711616161616162,0.0169238648755623,0.6148484848484849,0.0148554405476893,1.234848484848485,0.0069432965075088
-multiplicity lexemes from vq,0.537259494111613,0.0035023126711401,0.5372609068651067,0.0034646027999679,0.7726767676767676,0.0169712751791372,0.6148484848484849,0.0148554405476893,1.234848484848485,0.0069432965075088
-raw phrase hash (vq),0.5318922655365286,0.0061987222756312,0.5319063228737972,0.0062946808941679,0.76510101010101,0.0191691119133297,0.6072727272727273,0.0201309988977386,1.234848484848485,0.0069432965075088
