configuration,mean_iou_mean,mean_iou_std,hit_0_3_mean,hit_0_3_std,hit_0_5_mean,hit_0_5_std
YOLO only,0.5361436993331786,0.0169924493136907,0.7607361963190185,0.0341580635756442,0.6155419222903885,0.0141681047653895
RAD-DINO only,0.471717987580026,0.0015700315197697,0.7382413087934561,0.0035420261913474,0.4867075664621677,0.017710130956737
YOLO + RAD-DINO (ClueGround),0.5486315252772557,0.0106770542330442,0.7730061349693251,0.0184049079754601,0.6257668711656441,0.0122699386503067
