table,variant,coverage_iou_mean,coverage_iou_std,exact_union_iou_mean,exact_union_iou_std,set_f1_optimal_0_3_mean,set_f1_optimal_0_3_std,set_f1_optimal_0_5_mean,set_f1_optimal_0_5_std,mean_pred_count_mean,mean_pred_count_std
query,full_query,0.5419319996286318,0.0033637620988192464,0.543337423800433,0.005017519463237907,0.7872727272727272,0.022566603798065816,0.6246464646464647,0.013858736783935365,1.2424242424242424,0.010497277621629627
query,finding_only,0.49591706164824423,0.01867975080725276,0.49708084166107963,0.018349634479390264,0.7036868686868688,0.023492830184864706,0.5663131313131312,0.030267529710231056,1.240909090909091,0.012026142323020881
query,without_f,0.5330155772683395,0.006638096603871441,0.535304281084026,0.007928067964362212,0.7733838383838384,0.025115131283873098,0.6165656565656565,0.015171451530311133,1.2424242424242424,0.010497277621629627
query,without_l,0.5262447696025,0.004925979179762314,0.5286014892348558,0.0037273045437077536,0.7642424242424242,0.030426641822565888,0.6066666666666666,0.007624088257823676,1.240909090909091,0.007872958216222156
query,without_v,0.5387759214235412,0.0026448562343385188,0.5404784286132188,0.004174548492243258,0.7821717171717172,0.023399322926901223,0.6186868686868687,0.014406161743291008,1.243939393939394,0.009462118179391457
query,without_z,0.5393146973646952,0.0016135190301123695,0.5404932155371789,0.0009182885793546842,0.7865151515151516,0.021018051623098204,0.6271717171717172,0.008140091879490758,1.240909090909091,0.012026142323020881
query,without_u,0.5413795642236239,0.00036173948938585625,0.5426383024990414,0.0018998236488539245,0.7882828282828284,0.02294658494496873,0.6216161616161616,0.0072921667806979135,1.240909090909091,0.012026142323020881
query,without_m_lexical,0.5414403588709983,0.003458850960765743,0.5436381080699335,0.004393657142177642,0.7877777777777778,0.02174457983894399,0.6236363636363637,0.011719674932889517,1.240909090909091,0.007872958216222156
query,without_vq,0.5336243151776398,0.00477089343242256,0.534342321351389,0.005626303835375027,0.7718686868686869,0.02980897759724958,0.6132828282828283,0.009292380308773286,1.243939393939394,0.009462118179391485
component,rad_dino_only,0.40661375655514087,0.007514803507931616,0.448381405396644,0.0052331721699461755,0.6376262626262625,0.013975852628304754,0.3782828282828283,0.01906523847290592,1.0,0.0
component,yolo_only,0.5228883694156483,0.014886369711072437,0.5231557785366978,0.011832599206179054,0.7625252525252525,0.018647036444607308,0.6147979797979798,0.005742270992864552,1.237878787878788,0.014611592062110644
component,full,0.5419319996286318,0.0033637620988192464,0.543337423800433,0.005017519463237907,0.7872727272727272,0.022566603798065816,0.6246464646464647,0.013858736783935365,1.2424242424242424,0.010497277621629627
