configuration,mean_iou_mean,mean_iou_std,hit_0_3_mean,hit_0_3_std,hit_0_5_mean,hit_0_5_std
Full query,0.5486315252772557,0.0106770542330442,0.7730061349693251,0.0184049079754601,0.6257668711656441,0.0122699386503067
RAD-DINO query: finding only,0.5287631359720646,0.0124379443427386,0.7423312883435583,0.0221199464752392,0.6032719836400818,0.0070840523826948
-f,0.5479064633780659,0.0117904558966202,0.7770961145194275,0.0276641089130239,0.6216768916155418,0.018742640879165
-laterality,0.5417950026887685,0.0108809496356444,0.7648261758691207,0.0314822174199195,0.6175869120654397,0.0127709570519394
-vertical,0.5453609989181789,0.0149588471571107,0.7730061349693251,0.0245398773006134,0.623721881390593,0.0093713204395825
-severity,0.546695972383849,0.0109176686567899,0.7730061349693251,0.0212521571480843,0.6175869120654397,0.0070840523826948
-uncertainty,0.5487358841693358,0.0104772089250717,0.7709611451942741,0.0215453041980628,0.623721881390593,0.0093713204395825
-multiplicity lexemes from vq,0.5486315255938888,0.0106770520817796,0.7730061349693251,0.0184049079754601,0.6257668711656441,0.0122699386503067
-raw phrase hash (vq),0.5458567734925613,0.0088078891249079,0.7730061349693251,0.0221199464752391,0.6196319018404908,0.0184049079754601
