table,variant,mean_iou_mean,mean_iou_std,Hit@0.3_mean,Hit@0.3_std,Hit@0.5_mean,Hit@0.5_std
query,full_query,0.5538595993814247,0.0172430065650233,0.7995910020449898,0.028992733903390258,0.6032719836400818,0.018742640879164992
query,finding_only,0.49065848306663834,0.030086923122634193,0.6993865030674846,0.04869480940609674,0.5460122699386503,0.02811396131874748
query,without_f,0.5392239754007347,0.011258983692918804,0.7832310838445808,0.03594763973670129,0.5971370143149284,0.0035420261913473687
query,without_l,0.5400527064958157,0.02052704735002232,0.7750511247443762,0.03896228810482134,0.5971370143149284,0.019721167200394633
query,without_v,0.5470645911354501,0.012290123819764671,0.7893660531697342,0.030263085044884966,0.6012269938650308,0.010626078574042203
query,without_z,0.5509757638717317,0.014472890220378872,0.7955010224948875,0.021545304198062845,0.6012269938650306,0.012269938650306747
query,without_u,0.553204207558863,0.016812252367469464,0.7995910020449898,0.028992733903390258,0.6012269938650306,0.01623160313536563
query,without_m_lexical,0.5538595992793189,0.01724300691931395,0.7995910020449898,0.028992733903390258,0.6032719836400818,0.018742640879164992
query,without_vq,0.5415410339715434,0.009807230279908959,0.7750511247443762,0.017710130956737007,0.5950920245398773,0.006134969325153339
component,rad_dino_only,0.471717987580026,0.0015700315197697135,0.7382413087934561,0.003542026191347425,0.4867075664621677,0.017710130956737003
component,yolo_only,0.5390534301664996,0.006278810112223887,0.7586912065439674,0.009371320439582486,0.621676891615542,0.02479418333943177
component,full,0.5538595993814247,0.0172430065650233,0.7995910020449898,0.028992733903390258,0.6032719836400818,0.018742640879164992
